channel,conversions,revenue,credit,model,removal_effect
Email Marketing,219.0,57857.43,0.4010989010989011,First-Touch,
Paid Social,149.0,40063.16,0.27289377289377287,First-Touch,
Display Ads,138.0,38631.08,0.25274725274725274,First-Touch,
Organic Search,26.0,7227.44,0.047619047619047616,First-Touch,
Direct / Referral,14.0,3951.68,0.02564102564102564,First-Touch,
Email Marketing,227.0,58515.2,0.4157509157509158,Last-Touch,
Paid Social,145.0,41720.75,0.26556776556776557,Last-Touch,
Display Ads,128.0,34472.77,0.23443223443223443,Last-Touch,
Organic Search,30.0,8677.3,0.054945054945054944,Last-Touch,
Direct / Referral,16.0,4344.77,0.029304029304029304,Last-Touch,
Email Marketing,226.21666666666667,59520.61516666666,0.41431623931623934,Linear,
Paid Social,140.65,39469.35916666667,0.25760073260073263,Linear,
Display Ads,133.25,36281.91966666667,0.24404761904761904,Linear,
Organic Search,31.716666666666665,8479.587833333333,0.058089133089133084,Linear,
Direct / Referral,14.166666666666666,3979.3081666666667,0.025946275946275944,Linear,
Email Marketing,228.16190476190476,59901.972095238096,0.41787894645037504,Time-Decay,
Paid Social,140.68571428571428,39716.98828571429,0.2576661433804291,Time-Decay,
Display Ads,131.12857142857143,35479.45338095238,0.24016221873364732,Time-Decay,
Organic Search,31.909523809523808,8614.091333333334,0.058442351299494155,Time-Decay,
Direct / Referral,14.114285714285714,4018.2849047619047,0.02585034013605442,Time-Decay,
Organic Search,312.0,84417.59,0.5714285714285684,Markov Chain,0.003
Direct / Referral,234.0,63313.2,0.4285714285714316,Markov Chain,0.00225
Display Ads,0.0,0.0,0.0,Markov Chain,0.0
Paid Social,0.0,0.0,0.0,Markov Chain,0.0
Email Marketing,0.0,0.0,0.0,Markov Chain,0.0
