categoryid,parentid,depth,channel
1016,213.0,3,Display Ads
809,169.0,3,Display Ads
570,9.0,3,Display Ads
1691,885.0,2,Email Marketing
536,1691.0,3,Display Ads
231,,0,Organic Search
542,378.0,1,Paid Social
1146,542.0,2,Email Marketing
1140,542.0,2,Email Marketing
1479,1537.0,3,Display Ads
83,1621.0,2,Email Marketing
688,893.0,3,Display Ads
257,312.0,2,Email Marketing
1640,622.0,3,Display Ads
963,1281.0,3,Display Ads
412,1110.0,2,Email Marketing
948,1110.0,2,Email Marketing
934,1110.0,2,Email Marketing
148,1110.0,2,Email Marketing
12,1110.0,2,Email Marketing
1459,1604.0,3,Display Ads
1039,1604.0,3,Display Ads
877,1604.0,3,Display Ads
28,1604.0,3,Display Ads
912,945.0,2,Email Marketing
600,768.0,2,Email Marketing
177,768.0,2,Email Marketing
344,768.0,2,Email Marketing
419,229.0,4,Direct / Referral
192,1181.0,3,Display Ads
1099,711.0,3,Display Ads
1212,711.0,3,Display Ads
527,73.0,3,Display Ads
1653,393.0,3,Display Ads
7,250.0,1,Paid Social
1252,250.0,1,Paid Social
874,1420.0,2,Email Marketing
1122,1420.0,2,Email Marketing
88,1101.0,3,Display Ads
365,1424.0,2,Email Marketing
1587,1215.0,3,Display Ads
91,1215.0,3,Display Ads
1436,313.0,2,Email Marketing
1185,583.0,2,Email Marketing
1517,71.0,2,Email Marketing
1159,71.0,2,Email Marketing
1689,71.0,2,Email Marketing
582,590.0,3,Display Ads
1309,590.0,3,Display Ads
632,590.0,3,Display Ads
259,71.0,2,Email Marketing
454,71.0,2,Email Marketing
1334,1550.0,3,Display Ads
237,1550.0,3,Display Ads
890,1550.0,3,Display Ads
915,1550.0,3,Display Ads
63,1550.0,3,Display Ads
898,763.0,2,Email Marketing
840,488.0,3,Display Ads
1166,763.0,2,Email Marketing
1194,763.0,2,Email Marketing
232,763.0,2,Email Marketing
824,232.0,3,Display Ads
1683,232.0,3,Display Ads
855,1591.0,2,Email Marketing
800,383.0,3,Display Ads
1609,383.0,3,Display Ads
949,1591.0,2,Email Marketing
1115,949.0,3,Display Ads
